USERNAME	MID	EIAS	EBAYUSER	CatNum	Category
thechessstore	12949	nY+sHZ2PrBmdj6wVnY+sEZ2PrA2dj6wJmYeoCZOEpQ+dj6x9nY+seQ==	thechessstore	1645699013	Chess Boards (10) / Wood Chess Boards
thechessstore	12949	nY+sHZ2PrBmdj6wVnY+sEZ2PrA2dj6wJmYeoCZOEpQ+dj6x9nY+seQ==	thechessstore	1645700013	Chess Boards (10) / The Chess Store Chess Boards
thechessstore	12949	nY+sHZ2PrBmdj6wVnY+sEZ2PrA2dj6wJmYeoCZOEpQ+dj6x9nY+seQ==	thechessstore	1645701013	Chess Boards (10) / Colorful Wood Chess Boards
thechessstore	12949	nY+sHZ2PrBmdj6wVnY+sEZ2PrA2dj6wJmYeoCZOEpQ+dj6x9nY+seQ==	thechessstore	1645702013	Chess Boards (10) / Drueke Chess Boards
thechessstore	12949	nY+sHZ2PrBmdj6wVnY+sEZ2PrA2dj6wJmYeoCZOEpQ+dj6x9nY+seQ==	thechessstore	1645703013	Chess Boards (10) / Italfama Wood Chess Boards
thechessstore	12949	nY+sHZ2PrBmdj6wVnY+sEZ2PrA2dj6wJmYeoCZOEpQ+dj6x9nY+seQ==	thechessstore	1645704013	Chess Boards (10) / Brass Chess Boards
thechessstore	12949	nY+sHZ2PrBmdj6wVnY+sEZ2PrA2dj6wJmYeoCZOEpQ+dj6x9nY+seQ==	thechessstore	1645705013	Chess Boards (10) / Leatherette Chess Boards
thechessstore	12949	nY+sHZ2PrBmdj6wVnY+sEZ2PrA2dj6wJmYeoCZOEpQ+dj6x9nY+seQ==	thechessstore	1645706013	Chess Boards (10) / Rollup Chess Boards
thechessstore	12949	nY+sHZ2PrBmdj6wVnY+sEZ2PrA2dj6wJmYeoCZOEpQ+dj6x9nY+seQ==	thechessstore	0	Other
thechessstore	12949	nY+sHZ2PrBmdj6wVnY+sEZ2PrA2dj6wJmYeoCZOEpQ+dj6x9nY+seQ==	thechessstore	3	Chess Computers
